CTRY,YEAR,CIRI,COW,POLITY,UNCTRY,UNREG,UNSUBREG,PHYSINT,DISAP,KILL,POLPRIS,TORT,OLD_EMPINX,NEW_EMPINX,ASSN,FORMOV,DOMMOV,OLD_MOVE,SPEECH,ELECSD,OLD_RELFRE,NEW_RELFRE,WORKER,WECON,WOPOL,WOSOC,INJUD
Armenia,1981,122,371,371,51,142,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,1982,122,371,371,51,142,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,1983,122,371,371,51,142,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,1984,122,371,371,51,142,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,1985,122,371,371,51,142,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,1986,122,371,371,51,142,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,1987,122,371,371,51,142,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,1988,122,371,371,51,142,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,1989,122,371,371,51,142,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,1990,122,371,371,51,142,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,1991,122,371,371,51,142,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,1992,122,371,371,51,142,145,8,2,2,2,2,4,8,2,0,2,0,1,1,1,2,0,0,2,0,1
Armenia,1993,122,371,371,51,142,145,7,2,2,2,1,3,9,2,1,2,0,1,2,0,1,0,1,2,1,1
Armenia,1994,122,371,371,51,142,145,7,2,2,2,1,3,8,2,0,2,0,1,1,0,1,1,1,2,1,1
Armenia,1995,122,371,371,51,142,145,5,2,2,1,0,1,3,1,0,1,0,1,0,0,0,0,1,2,1,1
Armenia,1996,122,371,371,51,142,145,5,2,2,0,1,2,6,1,1,1,0,1,1,0,1,0,1,2,1,1
Armenia,1997,122,371,371,51,142,145,5,2,2,1,0,2,6,1,1,1,0,1,1,0,1,0,1,2,1,1
Armenia,1998,122,371,371,51,142,145,4,2,1,1,0,2,7,2,1,1,0,1,0,0,1,1,1,2,1,1
Armenia,1999,122,371,371,51,142,145,6,2,2,2,0,4,8,2,1,1,0,1,1,0,0,2,1,2,1,1
Armenia,2000,122,371,371,51,142,145,4,2,1,1,0,2,6,1,1,1,0,1,0,0,1,1,1,1,1,1
Armenia,2001,122,371,371,51,142,145,6,2,2,2,0,4,9,2,1,1,0,1,1,0,1,2,1,2,1,1
Armenia,2002,122,371,371,51,142,145,6,2,2,2,0,4,8,2,1,1,0,1,1,0,0,2,1,2,1,1
Armenia,2003,122,371,371,51,142,145,6,2,2,1,1,1,5,2,1,1,0,1,0,0,0,0,1,1,1,1
Armenia,2004,122,371,371,51,142,145,4,2,2,0,0,5,8,1,1,2,0,1,1,1,1,1,1,1,2,1
Armenia,2005,122,371,371,51,142,145,5,2,2,1,0,3,8,1,1,2,0,1,1,0,1,1,1,1,NA,0
Armenia,2006,122,371,371,51,142,145,5,2,2,1,0,4,7,1,1,2,1,1,1,0,1,0,1,2,NA,0
Armenia,2007,122,371,371,51,142,145,3,2,1,0,0,NA,6,1,1,1,NA,1,1,NA,1,0,2,2,1,0
Armenia,2008,122,371,371,51,142,145,3,2,1,0,0,NA,3,0,1,1,NA,0,0,NA,1,0,1,2,NA,0
Armenia,2009,122,371,371,51,142,145,3,2,1,0,0,NA,3,0,1,1,NA,0,0,NA,1,0,1,2,NA,0
Armenia,2010,122,371,371,51,142,145,3,2,1,0,0,NA,3,0,1,1,NA,0,0,NA,1,0,1,2,NA,0
Armenia,2011,122,371,371,51,142,145,4,2,1,1,0,NA,6,1,1,1,NA,1,1,NA,0,1,1,2,NA,0
Belize,1981,152,80,80,84,419,13,8,2,2,2,2,7,11,2,2,2,1,0,1,1,2,2,2,2,2,2
Belize,1982,152,80,80,84,419,13,8,2,2,2,2,9,13,2,2,2,1,1,2,1,2,2,2,2,2,2
Belize,1983,152,80,80,84,419,13,8,2,2,2,2,9,13,2,2,2,1,1,2,1,2,2,2,2,2,2
Belize,1984,152,80,80,84,419,13,7,2,2,2,1,9,13,2,2,2,1,1,2,1,2,2,2,2,2,2
Belize,1985,152,80,80,84,419,13,8,2,2,2,2,9,13,2,2,2,1,1,2,1,2,2,1,2,2,2
Belize,1986,152,80,80,84,419,13,8,2,2,2,2,9,13,2,2,2,1,1,2,1,2,2,1,2,2,2
Belize,1987,152,80,80,84,419,13,7,2,2,2,1,9,13,2,2,2,1,1,2,1,2,2,2,2,2,2
Belize,1988,152,80,80,84,419,13,8,2,2,2,2,10,14,2,2,2,1,2,2,1,2,2,2,2,2,2
Belize,1989,152,80,80,84,419,13,8,2,2,2,2,10,14,2,2,2,1,2,2,1,2,2,2,2,1,2
Belize,1990,152,80,80,84,419,13,7,2,2,2,1,10,14,2,2,2,1,2,2,1,2,2,2,2,2,2
Belize,1991,152,80,80,84,419,13,8,2,2,2,2,10,14,2,2,2,1,2,2,1,2,2,2,2,1,1
Belize,1992,152,80,80,84,419,13,8,2,2,2,2,10,14,2,2,2,1,2,2,1,2,2,2,2,2,1
