,unique_id,ccode,df_ccode,df_name,start,stop,Death,Death_Type,year,BirthType,Fragment,Area,split_terr,Mountains,Forested,Population,RegimeType,Troops,Recognition,WarOnset,WarOngoing,WarLoss,Support,Loot
282,372.1991,372,372.1000061,Abkhazia,0,1,0,0,1991,5,0,8660,0,1,0,178868,-1,4000,0,0,0,0,1,0
283,372.1992,372,372.1000061,Abkhazia,1,2,0,0,1992,5,0,8660,0,1,0,181960,-1,4000,0,0,0,0,1,0
284,372.1993,372,372.1000061,Abkhazia,2,3,0,0,1993,5,0,8660,0,1,0,185052,-1,4000,0,1,1,0,1,0
285,372.1994,372,372.1000061,Abkhazia,3,4,0,0,1994,5,0,8660,0,1,0,188144,-1,4000,0,0,1,0,1,0
286,372.1995,372,372.1000061,Abkhazia,4,5,0,0,1995,5,0,8660,0,1,0,191236,-1,4500,0,0,0,0,1,0
287,372.1996,372,372.1000061,Abkhazia,5,6,0,0,1996,5,0,8660,0,1,0,194328,-1,5000,0,0,0,0,1,0
288,372.1997,372,372.1000061,Abkhazia,6,7,0,0,1997,5,0,8660,0,1,0,197420,-1,5000,0,0,0,0,1,0
289,372.1998,372,372.1000061,Abkhazia,7,8,0,0,1998,5,0,8660,0,1,0,200512,-1,5000,0,0,0,0,1,0
290,372.1999,372,372.1000061,Abkhazia,8,9,0,0,1999,5,0,8660,0,1,0,203604,-1,5000,0,0,0,0,1,0
291,372.2,372,372.1000061,Abkhazia,9,10,0,0,2000,5,0,8660,0,1,0,206696,-1,5000,0,0,0,0,1,0
292,372.2001,372,372.1000061,Abkhazia,10,11,0,0,2001,5,0,8660,0,1,0,209788,-1,5000,0,0,0,0,1,0
293,372.2002,372,372.1000061,Abkhazia,11,12,0,0,2002,5,0,8660,0,1,0,212880,-1,5000,0,0,0,0,1,0
294,372.2003,372,372.1000061,Abkhazia,12,13,0,0,2003,5,0,8660,0,1,0,215972,-1,5000,0,0,0,0,1,0
295,372.2004,372,372.1000061,Abkhazia,13,14,0,0,2004,5,0,8660,0,1,0,219064,-1,5000,0,0,0,0,1,0
296,372.2005,372,372.1000061,Abkhazia,14,15,0,0,2005,5,0,8660,0,1,0,222156,-1,1500,0,0,0,0,1,0
297,372.2006,372,372.1000061,Abkhazia,15,16,0,0,2006,5,0,8660,0,1,0,225248,0,1500,0,0,0,0,1,0
298,372.2007,372,372.1000061,Abkhazia,16,17,0,0,2007,5,0,8660,0,1,0,228340,0,1500,0,0,0,0,1,0
299,372.2008,372,372.1000061,Abkhazia,17,18,0,0,2008,5,0,8660,0,1,0,231432,0,1500,1,0,0,0,1,0
300,372.2009,372,372.1000061,Abkhazia,18,19,0,0,2009,5,0,8660,0,1,0,234524,0,1500,1,0,0,0,1,0
301,372.201,372,372.1000061,Abkhazia,19,20,0,0,2010,5,0,8660,0,1,0,237616,0,1500,1,0,0,0,1,0
1914,850.1999,850,850.4000244,Aceh,0,1,0,0,1999,3,0,46365,0,1,1,3315600,-1,50,0,1,1,0,0,1
1915,850.2,850,850.4000244,Aceh,1,2,0,0,2000,3,0,46365,0,1,1,3387120,-1,2000,0,0,1,0,0,1
1916,850.2001,850,850.4000244,Aceh,2,3,0,0,2001,3,0,46365,0,1,1,3458640,-1,2000,0,0,1,0,0,1
1917,850.2002,850,850.4000244,Aceh,3,4,0,0,2002,3,0,46365,0,1,1,3475751,-1,2000,0,0,1,0,0,1
1918,850.2003,850,850.4000244,Aceh,4,5,0,0,2003,3,0,46365,0,1,1,3492862,-1,2000,0,0,1,0,0,1
1919,850.2004,850,850.4000244,Aceh,5,6,0,0,2004,3,0,46365,0,1,1,3509973,-1,2000,0,0,1,0,0,1
1920,850.2005,850,850.4000244,Aceh,6,7,1,3,2005,3,0,46365,0,1,1,3527084,-1,2000,0,0,1,0,0,1
626,500.1986,500,500.0700073,Acholiland - UPDA,0,1,0,0,1986,3,0,8185.5,0,0,0,168535,NA,15000,0,1,1,0,0,0
627,500.1987,500,500.0700073,Acholiland - UPDA,1,2,0,0,1987,3,0,8185.5,0,0,0,172508,NA,15000,0,0,1,0,0,0
628,500.1988,500,500.0700073,Acholiland - UPDA,2,3,1,3,1988,3,0,16371,0,0,0,352960,NA,15000,0,0,0,0,0,0
736,530.1975,530,530.4000244,Afar,0,1,0,0,1975,3,0,83113,0,0,0,2577267,-1,NA,0,1,1,0,0,0
737,530.1976,530,530.4000244,Afar,1,2,1,2,1976,3,0,83113,0,0,0,2584333,-1,NA,0,0,1,1,0,0
516,490.1996,490,490.1000061,AFDL-Zaire,0,1,0,0,1996,6,0,124613,0,1,1,6520600,-1,2500,0,1,1,0,1,1
517,490.1997,490,490.1000061,AFDL-Zaire,1,2,1,4,1997,6,0,1078784,0,1,1,19251750,-1,18000,0,0,1,0,1,1
66,91.191,91,91.09999847,Amapala,0,1,1,3,1910,5,0,75.19999695,0,0,0,885,NA,150,0,0,0,0,0,0
907,645.2001,645,645.2999878,Ansar Al-Islam; eastern Iraq,0,1,0,0,2001,5,0,50,0,1,0,4000,-1,700,0,0,0,0,0,0
