year,unique_id,ccode,state_name,event_num_all,event_num,start,stop,alt_start,alt_stop,num_before_81,left_censored,new_tc,new_tc_dummy,num_tc,area,area_1000,area_1000_log,country_age,durable,elf,exist_tc,first_tc,first_tc_alt,first_tc_count,lmtnest,sf,sf_onset,state_fail,tc_persists_alt,tc_tally,Devel,birth_type,rivals_thom,rivals_gd,hs_capacity,hrp_mean,hrp_sd,kills_mean,kills_median,ciri_disap,ciri_kill,ciri_polpris,ciri_tort,pts_amnesty,pts_state,pts_hrw,hath_tort,ucdp_low,ucdp_best,ucdp_high,polity,polity2,polity_democ,polity_autoc,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2x_egaldem,acd_inter_ongoing,acd_inter_onset,acd_intra_ongoing,acd_intra_onset,acd_any_ongoing,acd_any_onset,wbgdp2011est,wbgdppc2011est,wbpopest,sdpest,lag_hrp,lag_num_tc
1991,371.1991,371,Armenia,1,1,0,1,0,1,0,0,0,0,0,29703,29.70299911,3.391248021,1,0,0.134000003,0,0,0,1,2.805564404,0,0,0,0,0,0,2,1,0,0.136899993,0.328308554,0.318887368,0,0,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,6,6,6,0,0.652,0.377,0.306,0.547,0,0,0,0,0,0,23.594,8.609,14.985,23.372,NA,0
1992,371.1992,371,Armenia,1,1,1,2,1,2,0,0,0,0,0,29703,29.70299911,3.391248021,2,1,0.134000003,0,0,0,2,2.805564404,0,0,0,0,0,0.108141534,2,1,0,0.384200007,0.41813594,0.257426084,0,0,2,2,2,2,NA,2,NA,4,0,NA,NA,6,6,6,0,0.614,0.348,0.288,0.487,0,0,0,0,0,0,23.307,8.317,14.99,22.996,0.328308554,0
1993,371.1993,371,Armenia,1,1,2,3,2,3,0,0,0,0,0,29703,29.70299911,3.391248021,3,2,0.134000003,0,0,0,3,2.805564404,0,0,0,0,0,0.070951827,2,1,0,0.024879999,0.448613182,0.247056028,0,0,2,2,2,1,1,3,NA,NA,0,NA,NA,6,6,6,0,0.601,0.335,0.28,0.475,0,0,0,0,0,0,23.182,8.209,14.974,22.828,0.41813594,0
1994,371.1994,371,Armenia,1,1,3,4,3,4,0,0,0,0,0,29703,29.70299911,3.391248021,4,3,0.134000003,0,0,0,4,2.805564404,0,0,0,0,0,0.067603685,2,1,0,0.503099978,0.44205116,0.234019853,0,0,2,2,2,1,2,2,NA,NA,0,NA,NA,6,6,6,0,0.618,0.333,0.28,0.511,0,0,0,0,0,0,23.153,8.2,14.952,22.795,0.448613182,0
1995,371.1995,371,Armenia,1,1,4,5,4,5,0,0,0,0,0,29703,29.70299911,3.391248021,5,0,0.134000003,0,0,0,5,2.805564404,0,0,0,0,0,0.080345228,2,1,0,0.489199996,0.331176481,0.226880334,0,0,2,2,1,0,2,2,NA,NA,0,NA,NA,1,1,3,2,0.505,0.279,0.233,0.42,0,0,0,0,0,0,23.172,8.237,14.936,22.83,0.44205116,0
1996,371.1996,371,Armenia,1,1,5,6,5,6,0,0,0,0,0,29703,29.70299911,3.391248021,6,0,0.134000003,0,0,0,6,2.805564404,0,0,0,0,0,0.075881228,2,1,0,0.413700014,0.240469667,0.219859439,0,0,2,2,0,1,2,2,NA,NA,0,NA,NA,-6,-6,0,6,0.419,0.234,0.192,0.367,0,0,0,0,0,0,23.231,8.301,14.93,22.914,0.331176481,0
1997,371.1997,371,Armenia,1,1,6,7,6,7,0,0,0,0,0,29703,29.70299911,3.391248021,7,1,0.134000003,0,0,0,7,2.805564404,0,0,0,0,0,0.086462311,2,1,0,0.412800014,0.067073441,0.20905625,0,0,2,2,1,0,2,3,NA,NA,0,NA,NA,-6,-6,0,6,0.37,0.223,0.179,0.33,0,0,0,0,0,0,23.255,8.341,14.915,22.952,0.240469667,0
1998,371.1998,371,Armenia,1,1,7,8,7,8,0,0,0,0,0,29703,29.70299911,3.391248021,8,0,0.134000003,0,0,0,8,2.805564404,0,0,0,0,0,0.091221407,2,1,0,0.399699986,0.033260005,0.209936267,0,0,2,1,1,0,2,3,NA,NA,0,NA,NA,5,5,6,1,0.419,0.227,0.195,0.355,0,0,0,0,0,0,23.275,8.37,14.905,22.982,0.067073441,0
1999,371.1999,371,Armenia,1,1,8,9,8,9,0,0,0,0,0,29703,29.70299911,3.391248021,9,1,0.134000003,0,0,0,9,2.805564404,0,0,0,0,0,0.084143758,2,1,0,0.521000028,0.185682174,0.202191522,0,0,2,2,2,0,2,3,NA,NA,0,NA,NA,5,5,6,1,0.414,0.216,0.19,0.343,0,0,0,0,0,0,23.334,8.44,14.894,23.064,0.033260005,0
2000,371.2,371,Armenia,1,1,9,10,9,10,0,0,0,0,0,29703,29.70299911,3.391248021,10,2,0.134000003,0,0,0,10,2.805564404,0,0,0,0,0,0.093426883,2,1,0,0.41870001,0.298622341,0.211870585,0,0,2,1,1,0,2,2,NA,NA,0,NA,NA,5,5,6,1,0.483,0.246,0.212,0.368,0,0,0,0,0,0,23.386,8.49,14.896,23.131,0.185682174,0
2001,371.2001,371,Armenia,1,1,10,11,10,11,0,0,0,0,0,29703,29.70299911,3.391248021,11,3,0.134000003,0,0,0,11,2.805564404,0,0,0,0,0,0.098169729,2,1,0,0.423200011,0.403479186,0.218261282,0,0,2,2,2,0,2,2,NA,NA,0,NA,NA,5,5,6,1,0.463,0.238,0.211,0.362,0,0,0,0,0,0,23.432,8.552,14.881,23.194,0.298622341,0
2002,371.2002,371,Armenia,1,1,11,12,11,12,0,0,0,0,0,29703,29.70299911,3.391248021,12,4,0.134000003,0,0,0,12,2.805564404,0,0,0,0,0,0.086282603,2,1,NA,0.456800014,0.388505236,0.220298349,0,0,2,2,2,0,3,3,NA,NA,0,NA,NA,5,5,6,1,0.466,0.248,0.211,0.369,0,0,0,0,0,0,23.503,8.631,14.873,23.286,0.403479186,0
2003,371.2003,371,Armenia,1,1,12,13,12,13,0,0,0,0,0,29703,29.70299911,3.391248021,13,5,0.134000003,0,0,0,13,2.805564404,0,0,0,0,0,0.095035873,2,1,NA,0.462900013,0.630895113,0.22628875,0,0,2,2,1,1,2,2,NA,NA,0,NA,NA,5,5,5,0,0.36,0.196,0.165,0.307,0,0,0,0,0,0,23.62,8.758,14.862,23.431,0.388505236,0
